tournament_year,tournament_name,tournament_date,round,player1,player2,result,scores,duration
2025,DAIHATSU Indonesia Masters 2025,21 - 26 January,R32,LOH Kean Yew,LIN Chun-Yi,,,0:00
2025,YONEX-SUNRISE India Open 2025,14 - 19 January,R32,LOH Kean Yew,Chia Hao LEE,W,"21-15, 22-20",0:43
2025,YONEX-SUNRISE India Open 2025,14 - 19 January,R16,LOH Kean Yew,Kodai NARAOKA,W,"21-17, 21-15",0:46
2025,YONEX-SUNRISE India Open 2025,14 - 19 January,QF,LOH Kean Yew,Viktor AXELSEN,L,"19-21, 21-13, 8-21",1:04
2025,PETRONAS Malaysia Open 2025,07 - 12 January,R32,LOH Kean Yew,Koki WATANABE,L,"13-21, 18-21",0:46
2024,LI-NING China Masters 2024,19 - 24 November,R32,LOH Kean Yew,Jonatan CHRISTIE,L,"17-21, 21-19, 11-21",1:01
2024,Kumamoto Masters Japan 2024,12 - 17 November,R32,LOH Kean Yew,LEI Lan Xi,L,"19-21, 19-21",0:38
2024,VICTOR Denmark Open 2024,15 - 20 October,R32,LOH Kean Yew,Kodai NARAOKA,W,"21-17, 22-20",0:48
2024,VICTOR Denmark Open 2024,15 - 20 October,R16,LOH Kean Yew,LEE Cheuk Yiu,W,"9-21, 21-16, 21-14",0:58
2024,VICTOR Denmark Open 2024,15 - 20 October,QF,LOH Kean Yew,Alex LANIER,L,"18-21, 21-15, 22-24",1:20
2024,VICTOR China Open 2024,17 - 22 September,R32,LOH Kean Yew,Yushi TANAKA,W,"21-17, 17-21, 21-12",1:02
2024,VICTOR China Open 2024,17 - 22 September,R16,LOH Kean Yew,Anders ANTONSEN,L,"12-21, 21-9, 18-21",1:18
2024,LI-NING Hong Kong Open 2024,10 - 15 September,R32,LOH Kean Yew,JEON Hyeok Jin,L,"17-21, 17-21",0:46
2024,DAIHATSU Japan Open 2024,20 - 25 August,R32,LOH Kean Yew,WANG Tzu Wei,L,"18-21, 16-21",0:42
2024,SATHIO GROUP Australian Open 2024,11 - 16 June,R32,LOH Kean Yew,Kalle KOLJONEN,W,"21-15, 21-13",0:37
2024,SATHIO GROUP Australian Open 2024,11 - 16 June,R16,LOH Kean Yew,Sameer VERMA,L,"14-21, 21-14, 19-21",1:02
2024,KAPAL API Indonesia Open 2024,04 - 09 June,R32,LOH Kean Yew,Kunlavut VITIDSARN,L,"13-21, 10-21",0:36
2024,KFF Singapore Badminton Open 2024,28 May - 02 June,R32,LOH Kean Yew,LU Guang Zu,W,"25-27, 21-15, 21-5",1:03
2024,KFF Singapore Badminton Open 2024,28 May - 02 June,R16,LOH Kean Yew,Anders ANTONSEN,W,"21-15, 11-21, 22-20",1:10
2024,KFF Singapore Badminton Open 2024,28 May - 02 June,QF,LOH Kean Yew,LI Shi Feng,L,"19-21, 16-21",0:56
2024,PERODUA Malaysia Masters 2024,21 - 26 May,R32,LOH Kean Yew,WANG Tzu Wei,L,"20-22, 21-9, 18-21",1:14
2024,TOYOTA Thailand Open 2024,14 - 19 May,R32,LOH Kean Yew,WANG Tzu Wei,L,"15-21, 13-21",0:39
2024,Madrid Spain Masters 2024 by IBERDROLA,26 - 31 March,R32,LOH Kean Yew,HUANG Yu Kai,W,"21-8, 21-15",0:22
2024,Madrid Spain Masters 2024 by IBERDROLA,26 - 31 March,R16,LOH Kean Yew,Christo POPOV,W,"19-21, 21-17, 21-11",0:59
2024,Madrid Spain Masters 2024 by IBERDROLA,26 - 31 March,QF,LOH Kean Yew,Mads CHRISTOPHERSEN,W,"21-13, 21-11",0:24
2024,Madrid Spain Masters 2024 by IBERDROLA,26 - 31 March,SF,LOH Kean Yew,WANG Tzu Wei,W,"21-13, 8-21, 21-15",0:51
2024,Madrid Spain Masters 2024 by IBERDROLA,26 - 31 March,Final,LOH Kean Yew,Toma Junior POPOV,W,"21-11, 15-21, 22-20",0:58
2024,YONEX Swiss Open 2024,19 - 24 March,R32,LOH Kean Yew,LIN Chun-Yi,L,"18-21, 13-21",0:35
2024,YONEX All England Open Badminton Championships 2024,12 - 17 March,R32,LOH Kean Yew,NG Ka Long Angus,W,"21-12, 21-17",0:35
2024,YONEX All England Open Badminton Championships 2024,12 - 17 March,R16,LOH Kean Yew,LEE Zii Jia,L,"15-21, 12-21",0:33
2024,YONEX French Open 2024,05 - 10 March,R32,LOH Kean Yew,Toma Junior POPOV,W,"21-14, 23-21",0:44
2024,YONEX French Open 2024,05 - 10 March,R16,LOH Kean Yew,Anthony Sinisuka GINTING,W,"21-16, 18-21, 21-16",1:08
2024,YONEX French Open 2024,05 - 10 March,QF,LOH Kean Yew,Lakshya SEN,L,"21-19, 15-21, 13-21",1:18
2024,PRINCESS SIRIVANNAVARI Thailand Masters 2024,30 January - 04 February,R32,LOH Kean Yew,HUANG Yu Kai,W,"21-15, 21-13",0:35
2024,PRINCESS SIRIVANNAVARI Thailand Masters 2024,30 January - 04 February,R16,LOH Kean Yew,Misha ZILBERMAN,W,"21-9, 21-6",0:27
2024,PRINCESS SIRIVANNAVARI Thailand Masters 2024,30 January - 04 February,QF,LOH Kean Yew,Takuma OBAYASHI,W,"21-13, 21-13",0:40
2024,PRINCESS SIRIVANNAVARI Thailand Masters 2024,30 January - 04 February,SF,LOH Kean Yew,SU Li  Yang,W,"21-14, 21-14",0:47
2024,PRINCESS SIRIVANNAVARI Thailand Masters 2024,30 January - 04 February,Final,LOH Kean Yew,CHOU Tien Chen,L,"16-21, 21-6, 16-21",1:02
2024,DAIHATSU Indonesia Masters 2024,23 - 28 January,R32,LOH Kean Yew,PRANNOY H. S.,W,"21-18, 19-21, 21-10",1:00
2024,DAIHATSU Indonesia Masters 2024,23 - 28 January,R16,LOH Kean Yew,SU Li  Yang,W,"21-11, 21-16",0:43
2024,DAIHATSU Indonesia Masters 2024,23 - 28 January,QF,LOH Kean Yew,Anthony Sinisuka GINTING,L,"17-21, 19-21",0:53
2024,PETRONAS Malaysia Open 2024,09 - 14 January,R32,LOH Kean Yew,Viktor AXELSEN,L,"13-21, 15-21",0:43
2023,LI-NING China Masters 2023,21 - 26 November,R32,LOH Kean Yew,Anthony Sinisuka GINTING,L,"15-21, 19-21",0:51
2023,Kumamoto Masters Japan 2023,14 - 19 November,R32,LOH Kean Yew,Kento MOMOTA,L,"21-18, 24-26, 19-21",1:25
2023,YONEX French Open 2023,24 - 29 October,R32,LOH Kean Yew,Christo POPOV,W,"21-11, 21-18",0:42
2023,YONEX French Open 2023,24 - 29 October,R16,LOH Kean Yew,NG Ka Long Angus,W,"21-8, 23-21",0:41
2023,YONEX French Open 2023,24 - 29 October,QF,LOH Kean Yew,SHI Yu Qi,W,"21-17, 21-19",0:41
2023,YONEX French Open 2023,24 - 29 October,SF,LOH Kean Yew,Jonatan CHRISTIE,L,"18-21, 13-21",0:45
2023,VICTOR Denmark Open 2023,17 - 22 October,R32,LOH Kean Yew,Kodai NARAOKA,W,"19-21, 21-6, 21-19",1:20
2023,VICTOR Denmark Open 2023,17 - 22 October,R16,LOH Kean Yew,Anders ANTONSEN,W,"21-19, 21-19",0:53
2023,VICTOR Denmark Open 2023,17 - 22 October,QF,LOH Kean Yew,SHI Yu Qi,L,"11-21, 19-21",0:46
2023,VICTOR Hong Kong Open 2023,12 - 17 September,R32,LOH Kean Yew,Christo POPOV,L,"21-12, 17-21, 13-21",1:03
2023,VICTOR China Open 2023,05 - 10 September,R32,LOH Kean Yew,Christo POPOV,W,"21-14, 21-17",0:47
2023,VICTOR China Open 2023,05 - 10 September,R16,LOH Kean Yew,Anders ANTONSEN,W,"21-17, 21-12",0:51
2023,VICTOR China Open 2023,05 - 10 September,QF,LOH Kean Yew,Viktor AXELSEN,L,"17-21, 21-23",0:51
2023,SATHIO GROUP Australian Open 2023,01 - 06 August,R32,LOH Kean Yew,Mithun MANJUNATH,L,"19-21, 19-21",0:41
2023,DAIHATSU Japan Open 2023,25 - 30 July,R32,LOH Kean Yew,NG Tze Yong,L,"16-21, 17-21",0:41
2023,Korea Open 2023,18 - 23 July,R32,LOH Kean Yew,LEONG Jun Hao,W,"21-10, 21-14",0:34
2023,Korea Open 2023,18 - 23 July,R16,LOH Kean Yew,ZHAO Jun Peng,W,"21-19, 17-21, 21-6",0:56
2023,Korea Open 2023,18 - 23 July,QF,LOH Kean Yew,NG Tze Yong,W,"22-20, 21-19",0:45
2023,Korea Open 2023,18 - 23 July,SF,LOH Kean Yew,Kodai NARAOKA,W,"18-21, 21-16, 21-15",1:20
2023,Korea Open 2023,18 - 23 July,Final,LOH Kean Yew,Anders ANTONSEN,L,"21-11, 11-21, 19-21",1:08
2023,KAPAL API GROUP Indonesia Open 2023,13 - 18 June,R32,LOH Kean Yew,Chico  Aura DWI WARDOYO,W,"21-15, 23-21",0:45
2023,KAPAL API GROUP Indonesia Open 2023,13 - 18 June,R16,LOH Kean Yew,LI Shi Feng,L,"19-21, 14-21",0:44
2023,KFF Singapore Open 2023,06 - 11 June,R32,LOH Kean Yew,LEE Cheuk Yiu,W,"21-19, 21-19",0:41
2023,KFF Singapore Open 2023,06 - 11 June,R16,LOH Kean Yew,Christo POPOV,L,"10-21, 21-23",0:45
2023,PERODUA Malaysia Masters 2023 presented by DAIHATSU,23 - 28 May,R32,LOH Kean Yew,Lakshya SEN,L,"10-21, 21-16, 9-21",0:55
2023,YONEX All England Open Badminton Championships 2023,14 - 19 March,R32,LOH Kean Yew,ZHAO Jun Peng,L,"16-21, 21-16, 7-21",0:58
2023,YONEX German Open 2023,07 - 12 March,R32,LOH Kean Yew,Mithun MANJUNATH,W,"21-8, 19-21, 21-11",0:59
2023,YONEX German Open 2023,07 - 12 March,R16,LOH Kean Yew,Kenta NISHIMOTO,L,"17-21, 21-13, 19-21",1:18
2023,DAIHATSU Indonesia Masters 2023,24 - 29 January,R32,LOH Kean Yew,LI Shi Feng,W,"21-14, 21-16",0:41
2023,DAIHATSU Indonesia Masters 2023,24 - 29 January,R16,LOH Kean Yew,Chico  Aura DWI WARDOYO,L,"18-21, 15-21",0:42
