tournament_year,tournament_name,tournament_date,round,player1,player2,result,scores,duration
2025,DAIHATSU Indonesia Masters 2025,21 - 26 January,R32,YEO Jia Min,SIM Yu Jin,,,0:00
2025,YONEX-SUNRISE India Open 2025,14 - 19 January,R32,YEO Jia Min,Thuy Linh NGUYEN,W,"19-21, 22-20, 21-5",0:54
2025,YONEX-SUNRISE India Open 2025,14 - 19 January,R16,YEO Jia Min,Wen Chi HSU,W,"21-12, 19-21, 21-19",1:02
2025,YONEX-SUNRISE India Open 2025,14 - 19 January,QF,YEO Jia Min,AN Se Young,L,"11-21, 12-21",0:36
2025,PETRONAS Malaysia Open 2025,07 - 12 January,R32,YEO Jia Min,SUNG Shuo Yun,W,"21-16, 21-13",0:45
2025,PETRONAS Malaysia Open 2025,07 - 12 January,R16,YEO Jia Min,GAO Fang Jie,W,"21-14, 21-10",0:33
2025,PETRONAS Malaysia Open 2025,07 - 12 January,QF,YEO Jia Min,WANG Zhi Yi,L,"20-22, 16-21",0:46
2024,LI-NING China Masters 2024,19 - 24 November,R32,YEO Jia Min,LO Sin Yan Happy,W,"21-7, 21-18",0:32
2024,LI-NING China Masters 2024,19 - 24 November,R16,YEO Jia Min,PUSARLA V. Sindhu,W,"21-16, 17-21, 23-21",1:09
2024,LI-NING China Masters 2024,19 - 24 November,QF,YEO Jia Min,Supanida KATETHONG,L,"14-21, 17-21",0:33
2024,Kumamoto Masters Japan 2024,12 - 17 November,R32,YEO Jia Min,Line Højmark KJAERSFELDT,L,"14-21, 13-21",0:32
2024,VICTOR Denmark Open 2024,15 - 20 October,R32,YEO Jia Min,Akane YAMAGUCHI,W,"21-10, 10-21, 21-17",0:48
2024,VICTOR Denmark Open 2024,15 - 20 October,R16,YEO Jia Min,Tomoka MIYAZAKI,W,"21-15, 21-16",0:39
2024,VICTOR Denmark Open 2024,15 - 20 October,QF,YEO Jia Min,Putri Kusuma WARDANI,L,"22-20, 11-21, 18-21",1:01
2024,CLASH ROYALE Arctic Open 2024 powered by YONEX,08 - 13 October,R32,YEO Jia Min,Tereza ŠVÁBÍKOVÁ,W,"21-9, 21-15",0:28
2024,CLASH ROYALE Arctic Open 2024 powered by YONEX,08 - 13 October,R16,YEO Jia Min,Pornpawee CHOCHUWONG,W,"21-15, 23-21",0:45
2024,CLASH ROYALE Arctic Open 2024 powered by YONEX,08 - 13 October,QF,YEO Jia Min,HAN Yue,L,"21-17, 14-21, 9-21",0:56
2024,VICTOR China Open 2024,17 - 22 September,R32,YEO Jia Min,Wen Yu ZHANG,W,"21-12, 21-9",0:23
2024,VICTOR China Open 2024,17 - 22 September,R16,YEO Jia Min,Busanan ONGBAMRUNGPHAN,W,"21-16, 21-17",0:39
2024,VICTOR China Open 2024,17 - 22 September,QF,YEO Jia Min,Tomoka MIYAZAKI,L,"18-21, 6-21",0:32
2024,LI-NING Hong Kong Open 2024,10 - 15 September,R32,YEO Jia Min,Pitchamon OPATNIPUTH,W,"23-21, 18-21, 21-16",1:00
2024,LI-NING Hong Kong Open 2024,10 - 15 September,R16,YEO Jia Min,Busanan ONGBAMRUNGPHAN,L,"15-21, 12-21",0:38
2024,Korea Open 2024,27 August - 01 September,R32,YEO Jia Min,Michelle LI,W,"21-19, 21-11",0:30
2024,Korea Open 2024,27 August - 01 September,R16,YEO Jia Min,Pornpicha CHOEIKEEWONG,W,"21-16, 21-17",0:34
2024,Korea Open 2024,27 August - 01 September,QF,YEO Jia Min,SIM Yu Jin,L,"21-13, 14-21, 5-21",0:40
2024,KFF Singapore Badminton Open 2024,28 May - 02 June,R32,YEO Jia Min,HE Bing Jiao,L,"12-21, 23-21, 16-21",1:02
2024,TOYOTA Thailand Open 2024,14 - 19 May,R32,YEO Jia Min,KIM Ga Ram,W,"21-13, 21-16",0:33
2024,TOYOTA Thailand Open 2024,14 - 19 May,R16,YEO Jia Min,CHIU Pin-Chian,W,"21-14, 21-14",0:36
2024,TOYOTA Thailand Open 2024,14 - 19 May,QF,YEO Jia Min,WANG Zhi Yi,L,14-19,0:20
2024,YONEX All England Open Badminton Championships 2024,12 - 17 March,R32,YEO Jia Min,Gregoria Mariska TUNJUNG,L,"13-21, 14-21",0:30
2024,DAIHATSU Indonesia Masters 2024,23 - 28 January,R32,YEO Jia Min,WANG Zhi Yi,L,"21-9, 15-21, 18-21",0:57
2024,YONEX SUNRISE India Open 2024,16 - 21 January,R32,YEO Jia Min,Wen Chi HSU,W,"21-18, 12-21, 21-13",1:04
2024,YONEX SUNRISE India Open 2024,16 - 21 January,R16,YEO Jia Min,Gregoria Mariska TUNJUNG,W,"25-23, 21-14",0:40
2024,YONEX SUNRISE India Open 2024,16 - 21 January,QF,YEO Jia Min,AN Se Young,W,21-19,0:24
2024,YONEX SUNRISE India Open 2024,16 - 21 January,SF,YEO Jia Min,TAI Tzu Ying,L,"13-21, 18-21",0:37
2024,PETRONAS Malaysia Open 2024,09 - 14 January,R32,YEO Jia Min,Michelle LI,W,"21-9, 21-14",0:31
2024,PETRONAS Malaysia Open 2024,09 - 14 January,R16,YEO Jia Min,HAN Yue,W,"16-21, 21-19, 22-20",1:04
2024,PETRONAS Malaysia Open 2024,09 - 14 January,QF,YEO Jia Min,AN Se Young,L,"21-16, 12-21, 19-21",1:02
2023,LI-NING China Masters 2023,21 - 26 November,R32,YEO Jia Min,Lianne TAN,W,"21-9, 11-7",0:21
2023,LI-NING China Masters 2023,21 - 26 November,R16,YEO Jia Min,HAN Yue,L,"17-21, 21-16, 18-21",0:59
2023,Kumamoto Masters Japan 2023,14 - 19 November,R32,YEO Jia Min,Busanan ONGBAMRUNGPHAN,W,"21-17, 22-20",0:39
2023,Kumamoto Masters Japan 2023,14 - 19 November,R16,YEO Jia Min,Natsuki NIDAIRA,W,"21-13, 21-16",0:36
2023,Kumamoto Masters Japan 2023,14 - 19 November,QF,YEO Jia Min,Gregoria Mariska TUNJUNG,L,"20-22, 19-21",0:38
2023,YONEX French Open 2023,24 - 29 October,R32,YEO Jia Min,HAN Yue,L,"16-21, 16-21",0:36
